"station_number","date","NO2","pm25","pm10","NO","FN","CO","O3","C8H10","C7H8","C6H6","SO2","H2S"
"NL49007",2020-02-12 15:00:00,16.4,5.1,18.9,5.5,0.37,300.4,NA,NA,NA,NA,NA,NA
"NL49007",2020-02-12 14:00:00,16.2,6.3,18.6,6.7,0.39,299.8,NA,NA,NA,NA,NA,NA
"NL49007",2020-02-12 13:00:00,11.3,6.9,14.8,6,0.32,285.2,NA,NA,NA,NA,NA,NA
"NL49007",2020-02-12 12:00:00,10.5,5.9,19.8,5.7,0.31,278,NA,NA,NA,NA,NA,NA
"NL49007",2020-02-12 11:00:00,11.7,5.6,21.5,6,0.33,282.9,NA,NA,NA,NA,NA,NA
"NL49007",2020-02-12 10:00:00,11.9,3.6,19.3,6.2,0.29,280.1,NA,NA,NA,NA,NA,NA
"NL49007",2020-02-12 09:00:00,14.5,5.9,13.8,5.8,0.33,287.3,NA,NA,NA,NA,NA,NA
"NL49007",2020-02-12 08:00:00,18.6,7.7,15.6,6.3,0.41,304,NA,NA,NA,NA,NA,NA
"NL49007",2020-02-12 07:00:00,12.1,5.6,16.1,4.7,0.29,271.1,NA,NA,NA,NA,NA,NA
"NL49007",2020-02-12 06:00:00,10.2,6,16.2,3.9,0.22,260.9,NA,NA,NA,NA,NA,NA
"NL49007",2020-02-12 05:00:00,1.5,5.3,15.8,0.3,0.17,250.2,NA,NA,NA,NA,NA,NA
"NL49007",2020-02-12 04:00:00,0.1,4.2,17.5,-0.2,0.1,251.4,NA,NA,NA,NA,NA,NA
"NL49007",2020-02-12 03:00:00,-0.1,5.4,13,-0.3,0.1,247.5,NA,NA,NA,NA,NA,NA
"NL49007",2020-02-12 02:00:00,-0.6,6.1,13.2,-0.4,0.08,245.5,NA,NA,NA,NA,NA,NA
"NL49007",2020-02-12 01:00:00,0.5,9.3,11.6,-0.2,0.09,249.5,NA,NA,NA,NA,NA,NA
"NL49007",2020-02-12 00:00:00,1.4,9.7,12.7,0.3,0.13,253,NA,NA,NA,NA,NA,NA
"NL49007",2020-02-11 23:00:00,2.3,5.5,14.9,1,0.13,252.6,NA,NA,NA,NA,NA,NA
"NL49007",2020-02-11 22:00:00,2.7,2.3,18.9,0.8,0.14,259.2,NA,NA,NA,NA,NA,NA
"NL49007",2020-02-11 21:00:00,4,3.3,14.6,1.2,0.17,261.2,NA,NA,NA,NA,NA,NA
"NL49007",2020-02-11 20:00:00,5.3,5.3,13.3,1.5,0.22,257.3,NA,NA,NA,NA,NA,NA
"NL49007",2020-02-11 19:00:00,7.4,2.7,10.9,2.6,0.21,258.1,NA,NA,NA,NA,NA,NA
"NL49007",2020-02-11 18:00:00,9.1,0.9,12.3,3.1,0.26,265.4,NA,NA,NA,NA,NA,NA
"NL49007",2020-02-11 17:00:00,9.8,0.3,14.5,3,0.24,276.4,NA,NA,NA,NA,NA,NA
"NL49007",2020-02-11 16:00:00,9.5,0.3,16.1,3.9,0.26,267.5,NA,NA,NA,NA,NA,NA
"NL49007",2020-02-11 15:00:00,10.6,2.1,17.4,5.5,0.31,269.9,NA,NA,NA,NA,NA,NA
"NL49007",2020-02-11 14:00:00,11.8,4.3,16.6,5.2,0.31,272.5,NA,NA,NA,NA,NA,NA
"NL49007",2020-02-11 13:00:00,7.3,6.7,14.3,3.8,0.21,256.6,NA,NA,NA,NA,NA,NA
"NL49007",2020-02-11 12:00:00,7.7,7.1,20.5,5,0.21,253,NA,NA,NA,NA,NA,NA
"NL49007",2020-02-11 11:00:00,9,5.9,17,4.8,0.22,259.5,NA,NA,NA,NA,NA,NA
"NL49007",2020-02-11 10:00:00,8.9,2.9,19.1,4.4,0.24,259.7,NA,NA,NA,NA,NA,NA
"NL49007",2020-02-11 09:00:00,8.6,3.5,17.4,4.3,0.21,261.6,NA,NA,NA,NA,NA,NA
"NL49007",2020-02-11 08:00:00,12.1,4,22.7,5.4,0.28,276.2,NA,NA,NA,NA,NA,NA
"NL49007",2020-02-11 07:00:00,8,2.3,18.6,3.1,0.21,262.1,NA,NA,NA,NA,NA,NA
"NL49007",2020-02-11 06:00:00,6.4,1.6,24.5,2.2,0.18,254.9,NA,NA,NA,NA,NA,NA
"NL49007",2020-02-11 05:00:00,0.5,0.9,14.2,0.4,0.1,247.3,NA,NA,NA,NA,NA,NA
"NL49007",2020-02-11 04:00:00,-0.4,-0.1,18.3,0.1,0.08,244.8,NA,NA,NA,NA,NA,NA
"NL49007",2020-02-11 03:00:00,-0.7,0.1,17.3,0,0.08,247.5,NA,NA,NA,NA,NA,NA
"NL49007",2020-02-11 02:00:00,-0.3,1.4,17.5,0,0.09,252.4,NA,NA,NA,NA,NA,NA
"NL49007",2020-02-11 01:00:00,0.7,4.5,17.5,0.4,0.08,256.3,NA,NA,NA,NA,NA,NA
"NL49007",2020-02-11 00:00:00,0.9,3.9,14.2,1.1,0.11,268.2,NA,NA,NA,NA,NA,NA
"NL49007",2020-02-10 23:00:00,2.1,0.8,15.9,0.5,0.11,277.1,NA,NA,NA,NA,NA,NA
"NL49007",2020-02-10 22:00:00,4.8,2.2,7.2,0.7,0.13,297,NA,NA,NA,NA,NA,NA
"NL49007",2020-02-10 21:00:00,10,1.5,9.3,1.6,0.2,302.2,NA,NA,NA,NA,NA,NA
"NL49007",2020-02-10 20:00:00,9.3,1.6,8.3,2.1,0.17,294.1,NA,NA,NA,NA,NA,NA
"NL49007",2020-02-10 19:00:00,9.1,5.6,15.4,2.2,0.19,299.8,NA,NA,NA,NA,NA,NA
"NL49007",2020-02-10 18:00:00,20.2,4.5,10.5,5.8,0.52,339,NA,NA,NA,NA,NA,NA
"NL49007",2020-02-10 17:00:00,23.1,6.6,14.4,10,0.41,355.2,NA,NA,NA,NA,NA,NA
"NL49007",2020-02-10 16:00:00,14.5,11.3,29.8,4.9,0.31,306.9,NA,NA,NA,NA,NA,NA
"NL49007",2020-02-10 15:00:00,13.8,11.1,32.9,5.9,0.3,294.4,NA,NA,NA,NA,NA,NA
"NL49007",2020-02-10 14:00:00,10.4,8.2,27.2,4.3,0.26,284.6,NA,NA,NA,NA,NA,NA
"NL49007",2020-02-10 13:00:00,9.7,4.1,22.5,4.6,0.23,275.6,NA,NA,NA,NA,NA,NA
"NL49007",2020-02-10 12:00:00,8.7,4.9,20.4,4.8,0.21,273.8,NA,NA,NA,NA,NA,NA
"NL49007",2020-02-10 11:00:00,8.1,4.2,11.7,4.7,0.18,273.9,NA,NA,NA,NA,NA,NA
"NL49007",2020-02-10 10:00:00,9.7,3.8,13.9,4.8,0.22,276.2,NA,NA,NA,NA,NA,NA
"NL49007",2020-02-10 09:00:00,10.7,5.7,13.1,4.8,0.22,287.3,NA,NA,NA,NA,NA,NA
"NL49007",2020-02-10 08:00:00,11.5,4.8,17.4,4.5,0.25,304.1,NA,NA,NA,NA,NA,NA
"NL49007",2020-02-10 07:00:00,11.5,3.8,10.4,4.3,0.22,303.4,NA,NA,NA,NA,NA,NA
"NL49007",2020-02-10 06:00:00,8.7,5.3,16.8,3.3,0.15,307.9,NA,NA,NA,NA,NA,NA
"NL49007",2020-02-10 05:00:00,3.5,10.4,20.8,1.1,0.09,296.8,NA,NA,NA,NA,NA,NA
"NL49007",2020-02-10 04:00:00,2.8,13.9,35.2,0.4,0.1,296.9,NA,NA,NA,NA,NA,NA
"NL49007",2020-02-10 03:00:00,2.2,16.8,26.8,0.3,0.1,302,NA,NA,NA,NA,NA,NA
"NL49007",2020-02-10 02:00:00,2.8,10.3,27.6,NA,0.1,NA,NA,NA,NA,NA,NA,NA
"NL49007",2020-02-24 00:00:00,10.4,3.7,21.9,1.2,0.2,295.7,NA,NA,NA,NA,NA,NA
"NL49007",2020-02-23 23:00:00,8.8,5.7,22.6,1.2,0.19,282.3,NA,NA,NA,NA,NA,NA
"NL49007",2020-02-23 22:00:00,9.9,9.1,12.9,1.4,0.24,287.7,NA,NA,NA,NA,NA,NA
"NL49007",2020-02-23 21:00:00,18.2,5.3,18.1,1.8,0.33,279.3,NA,NA,NA,NA,NA,NA
"NL49007",2020-02-23 20:00:00,14,3.4,7.8,2.3,0.3,283.4,NA,NA,NA,NA,NA,NA
"NL49007",2020-02-23 19:00:00,10.5,4.3,8.7,1.6,0.19,286.1,NA,NA,NA,NA,NA,NA
"NL49007",2020-02-23 18:00:00,16.1,2.2,11,1.6,0.26,289.3,NA,NA,NA,NA,NA,NA
"NL49007",2020-02-23 17:00:00,24.4,0.8,9.3,3,0.35,339,NA,NA,NA,NA,NA,NA
"NL49007",2020-02-23 16:00:00,25.3,0.8,7.2,4,0.36,303.5,NA,NA,NA,NA,NA,NA
"NL49007",2020-02-23 15:00:00,9.5,3.2,10.1,2.3,0.17,228.7,NA,NA,NA,NA,NA,NA
"NL49007",2020-02-23 14:00:00,8,5.9,13,2.2,0.17,373.9,NA,NA,NA,NA,NA,NA
"NL49007",2020-02-23 13:00:00,6.5,5.7,12.7,1.3,0.13,382,NA,NA,NA,NA,NA,NA
"NL49007",2020-02-23 12:00:00,6.8,5.4,15.5,1.5,0.11,382.7,NA,NA,NA,NA,NA,NA
"NL49007",2020-02-23 11:00:00,5.7,2.5,13,0.9,0.1,376.6,NA,NA,NA,NA,NA,NA
"NL49007",2020-02-23 10:00:00,5.3,3.4,9.8,0.8,0.09,399.5,NA,NA,NA,NA,NA,NA
"NL49007",2020-02-23 09:00:00,11.9,5.7,4.5,2.1,0.14,367.3,NA,NA,NA,NA,NA,NA
"NL49007",2020-02-23 08:00:00,46.7,4.3,6.7,8.8,0.6,282.6,NA,NA,NA,NA,NA,NA
"NL49007",2020-02-23 07:00:00,14.6,7.5,12.1,2.6,0.22,247.8,NA,NA,NA,NA,NA,NA
"NL49007",2020-02-23 06:00:00,10.4,8.5,12,1.2,0.18,227.4,NA,NA,NA,NA,NA,NA
"NL49007",2020-02-23 05:00:00,5.7,7,11.6,0.6,0.12,235.9,NA,NA,NA,NA,NA,NA
"NL49007",2020-02-23 04:00:00,7.1,7.4,11.8,0.2,0.15,237.6,NA,NA,NA,NA,NA,NA
"NL49007",2020-02-23 03:00:00,7.2,10.9,12.9,0.3,0.19,224.1,NA,NA,NA,NA,NA,NA
"NL49007",2020-02-23 02:00:00,13,13.9,24.3,0.8,0.27,233,NA,NA,NA,NA,NA,NA
"NL49007",2020-02-23 01:00:00,11.2,9.7,22.9,0.6,0.23,230.7,NA,NA,NA,NA,NA,NA
"NL49007",2020-02-23 00:00:00,14.5,5.3,23.2,2.9,0.26,235.2,NA,NA,NA,NA,NA,NA
"NL49007",2020-02-22 23:00:00,8.3,5.5,6.6,1.4,0.19,251,NA,NA,NA,NA,NA,NA
"NL49007",2020-02-22 22:00:00,11.4,8.1,9.8,1.8,0.2,303.5,NA,NA,NA,NA,NA,NA
"NL49007",2020-02-22 21:00:00,12.8,10,19.2,1.2,0.25,253.3,NA,NA,NA,NA,NA,NA
"NL49007",2020-02-22 20:00:00,14.5,12.4,23.9,1,0.28,237.5,NA,NA,NA,NA,NA,NA
"NL49007",2020-02-22 19:00:00,16.5,12.7,23,1.1,0.27,222.6,NA,NA,NA,NA,NA,NA
"NL49007",2020-02-22 18:00:00,15.3,11.1,19.2,1.4,0.26,254.4,NA,NA,NA,NA,NA,NA
"NL49007",2020-02-22 17:00:00,15.2,7.9,17.8,1.8,0.28,386.3,NA,NA,NA,NA,NA,NA
"NL49007",2020-02-22 16:00:00,16.9,9.8,18.5,2.6,0.28,441.9,NA,NA,NA,NA,NA,NA
"NL49007",2020-02-22 15:00:00,11.3,12,19.4,1.9,0.2,432.7,NA,NA,NA,NA,NA,NA
"NL49007",2020-02-22 14:00:00,11.3,11.9,26.4,3.5,0.24,441.5,NA,NA,NA,NA,NA,NA
"NL49007",2020-02-22 13:00:00,9.7,12.8,21.1,2.9,0.23,425.4,NA,NA,NA,NA,NA,NA
"NL49007",2020-02-22 12:00:00,10.3,13.7,25.4,3.6,0.2,316.6,NA,NA,NA,NA,NA,NA
"NL49007",2020-02-22 11:00:00,9.4,14,26.4,3.5,0.21,262.8,NA,NA,NA,NA,NA,NA
"NL49007",2020-02-22 10:00:00,13.5,9.1,21,3.6,0.27,239.8,NA,NA,NA,NA,NA,NA
"NL49007",2020-02-22 09:00:00,12.4,6.2,20.5,3.1,0.27,287.9,NA,NA,NA,NA,NA,NA
"NL49007",2020-02-22 08:00:00,11.7,7.7,15.3,2.9,0.28,287.3,NA,NA,NA,NA,NA,NA
"NL49007",2020-02-22 07:00:00,12.7,8.5,12.2,2.5,0.28,300.1,NA,NA,NA,NA,NA,NA
"NL49007",2020-02-22 06:00:00,13.5,8.1,17,2.2,0.34,304.5,NA,NA,NA,NA,NA,NA
"NL49007",2020-02-22 05:00:00,8.8,8.7,19.6,1.5,0.25,295.3,NA,NA,NA,NA,NA,NA
"NL49007",2020-02-22 04:00:00,7.3,9.3,15.9,0.7,0.23,291.1,NA,NA,NA,NA,NA,NA
"NL49007",2020-02-22 03:00:00,7,8.6,20.1,0.7,0.2,282.2,NA,NA,NA,NA,NA,NA
"NL49007",2020-02-22 02:00:00,8,7.4,17.2,0.8,0.2,280.5,NA,NA,NA,NA,NA,NA
"NL49007",2020-02-22 01:00:00,8.1,8.3,20.5,0.9,0.17,280.8,NA,NA,NA,NA,NA,NA
"NL49007",2020-02-22 00:00:00,8.2,9.8,21.9,1.4,0.17,281.4,NA,NA,NA,NA,NA,NA
"NL49007",2020-02-21 23:00:00,11.5,8.2,21.3,1.8,0.23,301.7,NA,NA,NA,NA,NA,NA
"NL49007",2020-02-21 22:00:00,12.7,9.7,16.9,2,0.25,307.3,NA,NA,NA,NA,NA,NA
"NL49007",2020-02-21 21:00:00,12.7,9.8,11.7,2.2,0.28,310.5,NA,NA,NA,NA,NA,NA
"NL49007",2020-02-21 20:00:00,13.7,7.9,21.8,2.9,0.31,325.7,NA,NA,NA,NA,NA,NA
"NL49007",2020-02-21 19:00:00,17.4,8.9,16,3.4,0.34,325.7,NA,NA,NA,NA,NA,NA
"NL49007",2020-02-21 18:00:00,16.1,6.8,20.5,3.9,0.31,322.6,NA,NA,NA,NA,NA,NA
"NL49007",2020-02-21 17:00:00,17.1,6.8,16.9,6.2,0.38,338.2,NA,NA,NA,NA,NA,NA
"NL49007",2020-02-21 16:00:00,18.4,8,15.3,4.8,0.35,316.6,NA,NA,NA,NA,NA,NA
"NL49007",2020-02-21 15:00:00,17.2,5.6,15.2,6.8,0.46,310.6,NA,NA,NA,NA,NA,NA
"NL49007",2020-02-21 14:00:00,16.9,3.6,15.7,7.9,0.41,319.6,NA,NA,NA,NA,NA,NA
"NL49007",2020-02-21 13:00:00,NA,4.5,17.3,NA,0.4,273.2,NA,NA,NA,NA,NA,NA
"NL49007",2020-02-21 12:00:00,NA,6.4,12.9,NA,0.38,278.8,NA,NA,NA,NA,NA,NA
"NL49007",2020-02-21 11:00:00,NA,8.8,22.2,NA,0.42,292.7,NA,NA,NA,NA,NA,NA
"NL49007",2020-02-21 10:00:00,NA,7.1,26.3,NA,0.42,310.7,NA,NA,NA,NA,NA,NA
"NL49007",2020-02-21 09:00:00,NA,4.9,26.2,NA,0.44,NA,NA,NA,NA,NA,NA,NA
"NL49007",2020-02-21 08:00:00,25.2,6.2,25.7,8.7,0.57,322.7,NA,NA,NA,NA,NA,NA
"NL49007",2020-02-21 07:00:00,20.2,5.3,21.4,5.8,0.44,325.3,NA,NA,NA,NA,NA,NA
"NL49007",2020-02-21 06:00:00,18,6.1,28.2,4.9,0.4,325.9,NA,NA,NA,NA,NA,NA
"NL49007",2020-02-21 05:00:00,6.6,8.6,23.3,1.7,0.23,296,NA,NA,NA,NA,NA,NA
"NL49007",2020-02-21 04:00:00,3.7,5.9,19.2,0.7,0.18,294.8,NA,NA,NA,NA,NA,NA
"NL49007",2020-02-21 03:00:00,3.4,3.5,17.4,0.7,0.17,288.1,NA,NA,NA,NA,NA,NA
"NL49007",2020-02-21 02:00:00,4.7,4.4,19.7,0.4,0.25,287.6,NA,NA,NA,NA,NA,NA
"NL49007",2020-02-21 01:00:00,4.8,6.9,18.2,0.6,0.24,283.3,NA,NA,NA,NA,NA,NA
"NL49007",2020-02-21 00:00:00,5.3,4.9,13.9,1.3,0.21,283.1,NA,NA,NA,NA,NA,NA
"NL49007",2020-02-20 23:00:00,5,2.2,17.2,1.1,0.21,283.4,NA,NA,NA,NA,NA,NA
"NL49007",2020-02-20 22:00:00,5.9,0.8,15.8,1.6,0.24,286.3,NA,NA,NA,NA,NA,NA
"NL49007",2020-02-20 21:00:00,9.8,0.9,13.2,1.9,0.24,303.1,NA,NA,NA,NA,NA,NA
"NL49007",2020-02-20 20:00:00,10.5,0.6,11.6,1.9,0.26,313.1,NA,NA,NA,NA,NA,NA
"NL49007",2020-02-20 19:00:00,11.1,-5.4,8.6,2.3,0.29,322.4,NA,NA,NA,NA,NA,NA
"NL49007",2020-02-20 18:00:00,22.1,-0.8,8.6,5.1,0.48,315,NA,NA,NA,NA,NA,NA
"NL49007",2020-02-20 17:00:00,38.9,5.7,9.9,10.5,0.95,352.2,NA,NA,NA,NA,NA,NA
"NL49007",2020-02-20 16:00:00,32.9,6,9.4,16.2,0.9,364.6,NA,NA,NA,NA,NA,NA
"NL49007",2020-02-20 15:00:00,39.8,4.5,6.7,21.7,1.13,379.7,NA,NA,NA,NA,NA,NA
"NL49007",2020-02-20 14:00:00,41.3,4,7.5,23.1,0.91,366,NA,NA,NA,NA,NA,NA
"NL49007",2020-02-20 13:00:00,33.3,4.7,7.2,15.6,0.66,350.9,NA,NA,NA,NA,NA,NA
"NL49007",2020-02-20 12:00:00,32.2,4,4.2,14.6,0.75,347.8,NA,NA,NA,NA,NA,NA
"NL49007",2020-02-20 11:00:00,34.2,5.3,6.3,16.8,0.69,342.5,NA,NA,NA,NA,NA,NA
"NL49007",2020-02-20 10:00:00,41.3,5.5,9.8,18.1,0.84,375.6,NA,NA,NA,NA,NA,NA
"NL49007",2020-02-20 09:00:00,42.6,6.3,9.5,23.5,1.08,372.8,NA,NA,NA,NA,NA,NA
"NL49007",2020-02-20 08:00:00,46.5,8.4,8.5,21.8,1.13,393.2,NA,NA,NA,NA,NA,NA
"NL49007",2020-02-20 07:00:00,35.1,6.5,9.7,18.1,0.94,364,NA,NA,NA,NA,NA,NA
"NL49007",2020-02-20 06:00:00,28.1,4.2,11.3,15.1,0.74,346.3,NA,NA,NA,NA,NA,NA
"NL49007",2020-02-20 05:00:00,15.4,6,16.7,3.9,0.42,320.2,NA,NA,NA,NA,NA,NA
"NL49007",2020-02-20 04:00:00,11.2,8.6,18,1.7,0.32,317,NA,NA,NA,NA,NA,NA
"NL49007",2020-02-20 03:00:00,10.5,9.5,13.9,0.3,0.34,319.5,NA,NA,NA,NA,NA,NA
"NL49007",2020-02-20 02:00:00,13.4,9,11.7,1,0.45,322.7,NA,NA,NA,NA,NA,NA
"NL49007",2020-02-20 01:00:00,15.3,7.8,10.3,3.1,0.57,341.7,NA,NA,NA,NA,NA,NA
"NL49007",2020-02-20 00:00:00,22.5,8.2,11.2,3.6,0.68,365.3,NA,NA,NA,NA,NA,NA
"NL49007",2020-02-19 23:00:00,26.6,7.9,12,4.9,0.72,381,NA,NA,NA,NA,NA,NA
"NL49007",2020-02-19 22:00:00,31.7,5.1,12.4,6.3,0.7,378.3,NA,NA,NA,NA,NA,NA
"NL49007",2020-02-19 21:00:00,37.9,4.6,12.6,11.1,0.95,395.4,NA,NA,NA,NA,NA,NA
"NL49007",2020-02-19 20:00:00,34.1,5.4,16.6,9.2,0.77,402.5,NA,NA,NA,NA,NA,NA
"NL49007",2020-02-19 19:00:00,35.4,6.2,20.8,10.6,0.78,417.2,NA,NA,NA,NA,NA,NA
"NL49007",2020-02-19 18:00:00,33,6.5,18,10.7,0.74,407.1,NA,NA,NA,NA,NA,NA
"NL49007",2020-02-19 17:00:00,22.4,6.2,16.8,6.1,0.51,363.7,NA,NA,NA,NA,NA,NA
"NL49007",2020-02-19 16:00:00,14,5.6,17.6,5.6,0.38,330.4,NA,NA,NA,NA,NA,NA
"NL49007",2020-02-19 15:00:00,17.8,5.1,22.8,7.8,0.45,343,NA,NA,NA,NA,NA,NA
"NL49007",2020-02-19 14:00:00,16.3,5.4,18.4,7.8,0.4,332.7,NA,NA,NA,NA,NA,NA
"NL49007",2020-02-19 13:00:00,14.7,7.9,21.2,7.4,0.34,329.7,NA,NA,NA,NA,NA,NA
"NL49007",2020-02-19 12:00:00,15.1,8.7,20,6.6,0.36,333.1,NA,NA,NA,NA,NA,NA
"NL49007",2020-02-19 11:00:00,17,5.3,17.7,7.6,0.41,327.5,NA,NA,NA,NA,NA,NA
"NL49007",2020-02-19 10:00:00,15.2,5.3,19.8,7,0.37,322.3,NA,NA,NA,NA,NA,NA
"NL49007",2020-02-19 09:00:00,18.6,10,20.7,7.8,0.4,335,NA,NA,NA,NA,NA,NA
"NL49007",2020-02-19 08:00:00,20.2,10.6,23.1,7.4,0.46,341.7,NA,NA,NA,NA,NA,NA
"NL49007",2020-02-19 07:00:00,19.5,5.8,15.3,6.6,0.37,318.7,NA,NA,NA,NA,NA,NA
"NL49007",2020-02-19 06:00:00,18,5.6,15.9,3.9,0.35,309,NA,NA,NA,NA,NA,NA
"NL49007",2020-02-19 05:00:00,5.3,6.9,18.2,0.9,0.2,290.8,NA,NA,NA,NA,NA,NA
"NL49007",2020-02-19 04:00:00,4.1,6.9,20,0.2,0.2,282.5,NA,NA,NA,NA,NA,NA
"NL49007",2020-02-19 03:00:00,3.9,7.5,13.4,0.1,0.16,287.2,NA,NA,NA,NA,NA,NA
"NL49007",2020-02-19 02:00:00,4.1,6.5,12.1,0.4,0.17,292.3,NA,NA,NA,NA,NA,NA
"NL49007",2020-02-19 01:00:00,8.9,3.7,8.5,0.2,0.21,307.2,NA,NA,NA,NA,NA,NA
"NL49007",2020-02-19 00:00:00,9.3,0.7,5.3,0.8,0.14,302.3,NA,NA,NA,NA,NA,NA
"NL49007",2020-02-18 23:00:00,9.2,1.1,4.1,1.8,0.17,312.2,NA,NA,NA,NA,NA,NA
"NL49007",2020-02-18 22:00:00,13,6.3,8.3,2.6,0.28,323.4,NA,NA,NA,NA,NA,NA
"NL49007",2020-02-18 21:00:00,13.3,10.1,12.1,1.9,0.29,315,NA,NA,NA,NA,NA,NA
"NL49007",2020-02-18 20:00:00,12.3,7.8,13.1,1.8,0.28,311,NA,NA,NA,NA,NA,NA
"NL49007",2020-02-18 19:00:00,13.9,6.6,14.4,2.4,0.32,310.6,NA,NA,NA,NA,NA,NA
"NL49007",2020-02-18 18:00:00,15.3,7.2,17,4.6,0.32,308.7,NA,NA,NA,NA,NA,NA
"NL49007",2020-02-18 17:00:00,15.3,9.3,26.7,4.9,0.35,314.4,NA,NA,NA,NA,NA,NA
"NL49007",2020-02-18 16:00:00,14.8,8.2,19.4,6.6,0.37,306.7,NA,NA,NA,NA,NA,NA
"NL49007",2020-02-18 15:00:00,17.3,5.8,17.7,10.5,0.46,309.8,NA,NA,NA,NA,NA,NA
"NL49007",2020-02-18 14:00:00,14.6,5.3,12.8,6.5,0.36,303.6,NA,NA,NA,NA,NA,NA
"NL49007",2020-02-18 13:00:00,12.4,2.1,12.4,6,0.27,295.7,NA,NA,NA,NA,NA,NA
"NL49007",2020-02-18 12:00:00,14,2.3,18.6,5.8,0.26,294.7,NA,NA,NA,NA,NA,NA
"NL49007",2020-02-18 11:00:00,14.7,5.9,15.8,8,0.33,297.3,NA,NA,NA,NA,NA,NA
"NL49007",2020-02-18 10:00:00,14.5,6.5,16.2,6.8,0.29,300.8,NA,NA,NA,NA,NA,NA
"NL49007",2020-02-18 09:00:00,18,5.3,16.4,8.7,0.39,318.3,NA,NA,NA,NA,NA,NA
"NL49007",2020-02-18 08:00:00,17.7,2.1,14.2,7,0.39,310.6,NA,NA,NA,NA,NA,NA
"NL49007",2020-02-18 07:00:00,20.5,2,19.2,6.4,0.37,311.2,NA,NA,NA,NA,NA,NA
"NL49007",2020-02-18 06:00:00,13.5,3.7,14.6,4.6,0.27,295.6,NA,NA,NA,NA,NA,NA
"NL49007",2020-02-18 05:00:00,4.5,3.3,15.9,1.1,0.16,275.6,NA,NA,NA,NA,NA,NA
"NL49007",2020-02-18 04:00:00,3.3,2.1,13.4,0.1,0.13,272.8,NA,NA,NA,NA,NA,NA
"NL49007",2020-02-18 03:00:00,3.5,2.6,11.8,0,0.13,273.4,NA,NA,NA,NA,NA,NA
"NL49007",2020-02-18 02:00:00,4.1,4.9,11.6,0,0.15,276.5,NA,NA,NA,NA,NA,NA
"NL49007",2020-02-18 01:00:00,6.8,5,17.2,-0.1,0.23,288.6,NA,NA,NA,NA,NA,NA
"NL49007",2020-02-18 00:00:00,11.1,6,16.9,0.5,0.29,295.9,NA,NA,NA,NA,NA,NA
"NL49007",2020-02-17 23:00:00,11.8,5.7,20.5,0.4,0.33,305.6,NA,NA,NA,NA,NA,NA
"NL49007",2020-02-17 22:00:00,12.9,3.3,19.4,1,0.3,310.2,NA,NA,NA,NA,NA,NA
"NL49007",2020-02-17 21:00:00,10.9,4.3,3.5,1.8,0.2,320.4,NA,NA,NA,NA,NA,NA
"NL49007",2020-02-17 20:00:00,12.1,8,16.5,1.7,0.24,310.4,NA,NA,NA,NA,NA,NA
"NL49007",2020-02-17 19:00:00,13,8.3,17.7,3.2,0.29,315.7,NA,NA,NA,NA,NA,NA
"NL49007",2020-02-17 18:00:00,16.8,6.5,15.6,3.3,0.3,334.4,NA,NA,NA,NA,NA,NA
"NL49007",2020-02-17 17:00:00,16,4.2,16.6,4.2,0.3,316.1,NA,NA,NA,NA,NA,NA
"NL49007",2020-02-17 16:00:00,14.5,3.8,10.6,5.2,0.35,311.8,NA,NA,NA,NA,NA,NA
"NL49007",2020-02-17 15:00:00,14.8,5.4,13,6.2,0.33,323.8,NA,NA,NA,NA,NA,NA
"NL49007",2020-02-17 14:00:00,14.4,3.8,8.2,9.2,0.38,301.6,NA,NA,NA,NA,NA,NA
"NL49007",2020-02-17 13:00:00,16.5,1.2,5.7,11.2,0.38,310.4,NA,NA,NA,NA,NA,NA
"NL49007",2020-02-17 12:00:00,13.3,4.8,8.3,6.4,0.25,295.2,NA,NA,NA,NA,NA,NA
"NL49007",2020-02-17 11:00:00,25.3,8,17.8,13.1,0.6,329.2,NA,NA,NA,NA,NA,NA
"NL49007",2020-02-17 10:00:00,25.2,6,17.2,14.1,0.61,331,NA,NA,NA,NA,NA,NA
"NL49007",2020-02-17 09:00:00,29.3,7.4,13.6,13.2,0.59,337.7,NA,NA,NA,NA,NA,NA
"NL49007",2020-02-17 08:00:00,37.6,11.2,17,19.7,0.83,384.9,NA,NA,NA,NA,NA,NA
"NL49007",2020-02-17 07:00:00,40.9,13,22.4,19.5,0.79,375,NA,NA,NA,NA,NA,NA
"NL49007",2020-02-17 06:00:00,15.7,12.2,24.4,9.5,0.38,287.8,NA,NA,NA,NA,NA,NA
"NL49007",2020-02-17 05:00:00,5.3,7,25.5,1.6,0.15,264.6,NA,NA,NA,NA,NA,NA
"NL49007",2020-02-17 04:00:00,3.1,6.6,17.5,0.2,0.12,279.5,NA,NA,NA,NA,NA,NA
"NL49007",2020-02-17 03:00:00,1.9,4.5,20.8,0.2,0.1,284.4,NA,NA,NA,NA,NA,NA
"NL49007",2020-02-17 02:00:00,1.4,0.3,20.7,0.1,0.11,279.7,NA,NA,NA,NA,NA,NA
"NL49007",2020-02-17 01:00:00,3.5,-1.5,20.3,0.4,0.11,283,NA,NA,NA,NA,NA,NA
"NL49014",2020-02-10 00:00:00,2.5,18.7,38.4,0.2,0.11,246.9,75.7,NA,NA,NA,NA,NA
"NL49014",2020-02-09 23:00:00,2.6,8.7,27,0.3,0.11,243.2,75.9,NA,NA,NA,NA,NA
